Header,ID,Checksum,Inside temperature (°C),Outside temperature (°C),Pressure (Pa),Humidity (%),Latitude (°N),Longitude (°E),Altitude (m),Hour,Minute,Second,Radioactivity (CPM),Voltage (V)
170,41,47,21.85,19.81,1543,0.00,41.78018,-0.70329,29741,13,10,22,1129,3.747
170,42,179,22.03,20.37,1537,0.00,41.78063,-0.71143,29780,13,11,9,1119,3.741
170,43,142,22.21,21.25,1531,0.00,41.78094,-0.71910,29822,13,11,56,1109,3.752
170,44,115,22.37,21.87,1521,0.00,41.78117,-0.72622,29867,13,12,43,1098,3.752
170,45,205,22.52,21.69,1517,0.00,41.78120,-0.73338,29908,13,13,30,1077,3.736
170,46,93,22.72,20.50,1508,0.00,41.78112,-0.74145,29952,13,14,17,1022,3.741
170,47,158,22.90,19.94,1493,0.00,41.78083,-0.75051,30009,13,15,4,954,3.741
170,48,69,23.98,19.12,1485,0.00,41.78055,-0.76032,30073,13,15,51,806,3.149
170,49,142,29.54,18.44,1434,0.00,41.77826,-0.81312,30390,13,20,28,0,3.659
170,50,254,30.51,13.31,1381,0.00,41.77191,-0.86548,30694,13,25,5,0,3.664
170,51,222,31.85,8.06,1329,0.00,41.77143,-0.92324,31019,13,29,42,0,3.686
170,52,57,33.07,9.13,1271,0.00,41.77160,-0.97605,31359,13,34,19,0,3.664
170,53,207,34.03,13.81,1225,0.00,41.77539,-1.02763,31674,13,38,56,0,3.659
170,54,125,34.84,21.37,1186,0.00,41.76791,-1.08266,31928,13,43,33,0,3.653
170,55,240,35.70,22.25,1152,0.00,41.76822,-1.13945,32183,13,48,10,0,3.642
170,56,31,36.67,13.94,1133,0.00,41.77275,-1.18846,32306,13,52,47,0,3.648
170,57,42,38.53,6.62,1117,0.00,41.78043,-1.23764,32431,13,57,24,0,3.632
170,58,217,41.05,3.94,1097,0.00,41.78559,-1.28860,32601,14,2,1,0,3.642
170,59,153,42.51,0.69,1073,0.00,41.79109,-1.33809,32786,14,6,38,0,3.637
170,60,27,43.26,-0.81,1039,0.00,41.79465,-1.38828,33070,14,11,15,0,3.642
170,61,130,43.09,-1.62,1005,0.00,41.79559,-1.43531,33302,14,15,52,0,3.642
170,62,8,43.83,-1.94,975,0.00,41.78926,-1.48853,33490,14,20,29,0,3.642
170,63,162,44.89,-3.87,957,0.00,41.78347,-1.54291,33636,14,25,6,0,3.632
170,64,31,45.53,11.25,953,0.00,41.78310,-1.59089,33690,14,29,43,0,3.626
170,65,182,44.58,12.63,938,0.00,41.77940,-1.63285,33767,14,34,20,0,3.626
170,66,13,44.96,8.75,937,0.00,41.77739,-1.67731,33746,14,38,57,0,3.610
170,67,7,45.58,9.75,921,0.00,41.78067,-1.72421,33864,14,43,34,0,3.599
170,68,90,45.77,-1.31,1775,0.00,41.78229,-1.77186,28580,14,48,11,0,3.582
170,69,10,43.51,-28.00,4988,0.00,41.78020,-1.80269,21273,14,52,48,0,3.560
170,70,249,39.78,-46.88,10111,0.00,41.77317,-1.79426,16734,14,57,25,0,3.527
170,71,37,35.66,-45.12,16976,0.00,41.78322,-1.74419,13404,15,2,2,0,3.423
170,72,48,32.21,-40.19,24133,0.00,41.83838,-1.66313,11083,15,6,39,0,3.160
